                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    141,                0.35332,                0.38604,                0.90055,                0.89071,                0.77964,                0.92135,                0.87455,                 0.3672,                0.63995,                0.87546,             0.00034658,             0.00034658,             0.00034658
                    142,                0.35342,                0.39161,                0.89607,                0.93646,                0.84829,                0.95737,                0.91961,                0.32563,                0.52494,                0.84268,             0.00034108,             0.00034108,             0.00034108
                    143,                0.36327,                0.40396,                0.90055,                0.87883,                0.88162,                0.94404,                0.89683,                0.33274,                0.55692,                0.85168,             0.00033558,             0.00033558,             0.00033558
                    144,                0.35787,                0.40952,                 0.8989,                0.90791,                0.86098,                0.95813,                 0.9052,                0.33113,                0.60953,                0.84105,             0.00033008,             0.00033008,             0.00033008
                    145,                0.35922,                0.41697,                 0.9037,                0.86485,                   0.86,                0.92245,                0.89106,                0.33704,                0.60914,                0.84948,             0.00032458,             0.00032458,             0.00032458
                    146,                0.35106,                 0.4016,                0.90037,                0.89615,                0.86965,                0.94346,                  0.889,                 0.3438,                0.55616,                0.84678,             0.00031908,             0.00031908,             0.00031908
                    147,                0.35297,                0.39384,                0.90178,                0.82797,                0.90686,                0.90585,                0.85535,                0.33256,                0.55236,                0.84519,             0.00031358,             0.00031358,             0.00031358
                    148,                0.35596,                0.37691,                0.89954,                0.91547,                0.84372,                0.94374,                  0.907,                 0.3265,                0.52834,                0.84041,             0.00030808,             0.00030808,             0.00030808
                    149,                 0.3502,                0.36556,                0.89971,                0.93816,                0.86404,                 0.9449,                 0.9107,                0.32294,                0.49395,                0.84951,             0.00030258,             0.00030258,             0.00030258
                    150,                0.34552,                0.36911,                0.90315,                0.89628,                0.89478,                0.95012,                0.90128,                 0.3512,                0.48222,                0.84655,             0.00029708,             0.00029708,             0.00029708
                    151,                0.35388,                 0.3905,                0.90193,                0.90377,                0.85125,                0.95893,                0.91375,                0.32716,                0.51635,                0.85016,             0.00029158,             0.00029158,             0.00029158
                    152,                0.35489,                0.36882,                0.90323,                0.85044,                   0.88,                0.92908,                0.88842,                0.33608,                0.57605,                0.84065,             0.00028608,             0.00028608,             0.00028608
